center,left,right,steering,throttle,brake,speed
sharp_turn/center_2017_02_10_10_45_38_027.jpg, sharp_turn/left_2017_02_10_10_45_38_027.jpg, sharp_turn/right_2017_02_10_10_45_38_027.jpg, 0, 0, 0, 3.969235
sharp_turn/center_2017_02_10_10_45_38_138.jpg, sharp_turn/left_2017_02_10_10_45_38_138.jpg, sharp_turn/right_2017_02_10_10_45_38_138.jpg, 0, 0.1107869, 0, 3.964427
sharp_turn/center_2017_02_10_10_45_38_240.jpg, sharp_turn/left_2017_02_10_10_45_38_240.jpg, sharp_turn/right_2017_02_10_10_45_38_240.jpg, 0, 0.451188, 0, 4.316541
sharp_turn/center_2017_02_10_10_45_38_340.jpg, sharp_turn/left_2017_02_10_10_45_38_340.jpg, sharp_turn/right_2017_02_10_10_45_38_340.jpg, 0.101895, 0.7529819, 0, 5.020973
sharp_turn/center_2017_02_10_10_45_38_457.jpg, sharp_turn/left_2017_02_10_10_45_38_457.jpg, sharp_turn/right_2017_02_10_10_45_38_457.jpg, 0.451461, 1, 0, 6.264477
sharp_turn/center_2017_02_10_10_45_38_557.jpg, sharp_turn/left_2017_02_10_10_45_38_557.jpg, sharp_turn/right_2017_02_10_10_45_38_557.jpg, 0.7521181, 1, 0, 7.327548
sharp_turn/center_2017_02_10_10_45_38_658.jpg, sharp_turn/left_2017_02_10_10_45_38_658.jpg, sharp_turn/right_2017_02_10_10_45_38_658.jpg, 1, 0.9608262, 0, 8.30612
sharp_turn/center_2017_02_10_10_45_38_777.jpg, sharp_turn/left_2017_02_10_10_45_38_777.jpg, sharp_turn/right_2017_02_10_10_45_38_777.jpg, 0.839473, 0.603808, 0, 9.241117
sharp_turn/center_2017_02_10_10_45_38_890.jpg, sharp_turn/left_2017_02_10_10_45_38_890.jpg, sharp_turn/right_2017_02_10_10_45_38_890.jpg, 0.499996, 0.264331, 0, 9.757465
sharp_turn/center_2017_02_10_10_45_39_009.jpg, sharp_turn/left_2017_02_10_10_45_39_009.jpg, sharp_turn/right_2017_02_10_10_45_39_009.jpg, 0.1423331, 0, 0, 9.763485
sharp_turn/center_2017_02_10_10_45_39_110.jpg, sharp_turn/left_2017_02_10_10_45_39_110.jpg, sharp_turn/right_2017_02_10_10_45_39_110.jpg, 0.23182, 0, 0, 9.65329
sharp_turn/center_2017_02_10_10_45_39_226.jpg, sharp_turn/left_2017_02_10_10_45_39_226.jpg, sharp_turn/right_2017_02_10_10_45_39_226.jpg, 0.581128, 0, 0, 9.489075
sharp_turn/center_2017_02_10_10_45_39_342.jpg, sharp_turn/left_2017_02_10_10_45_39_342.jpg, sharp_turn/right_2017_02_10_10_45_39_342.jpg, 0.2341329, 0, 0, 9.370317
sharp_turn/center_2017_02_10_10_45_39_461.jpg, sharp_turn/left_2017_02_10_10_45_39_461.jpg, sharp_turn/right_2017_02_10_10_45_39_461.jpg, 0, 0, 0, 9.245174
sharp_turn/center_2017_02_10_10_45_39_575.jpg, sharp_turn/left_2017_02_10_10_45_39_575.jpg, sharp_turn/right_2017_02_10_10_45_39_575.jpg, 0, 0, 0, 9.130065
sharp_turn/center_2017_02_10_10_45_39_694.jpg, sharp_turn/left_2017_02_10_10_45_39_694.jpg, sharp_turn/right_2017_02_10_10_45_39_694.jpg, 0, 0, 0, 9.018077
sharp_turn/center_2017_02_10_10_45_44_860.jpg, sharp_turn/left_2017_02_10_10_45_44_860.jpg, sharp_turn/right_2017_02_10_10_45_44_860.jpg, 0, 0, 0, 4.882641
sharp_turn/center_2017_02_10_10_45_44_961.jpg, sharp_turn/left_2017_02_10_10_45_44_961.jpg, sharp_turn/right_2017_02_10_10_45_44_961.jpg, -0.304788, 0, 0, 4.814025
